Index,Name,Emergency,HI50kHz,Accept
0,L1_AlwaysTrue,0,0,0
1,L1_BPTX_AND_Ref1_VME,0,0,0
2,L1_BPTX_AND_Ref3_VME,0,0,0
3,L1_BPTX_AND_Ref4_VME,0,0,0
4,L1_BPTX_BeamGas_B1_VME,0,0,0
5,L1_BPTX_BeamGas_B2_VME,0,0,0
6,L1_BPTX_BeamGas_Ref1_VME,0,0,0
7,L1_BPTX_BeamGas_Ref2_VME,0,0,0
8,L1_BPTX_NotOR_VME,0,0,0
9,L1_BPTX_OR_Ref3_VME,0,0,0
10,L1_BPTX_OR_Ref4_VME,0,0,0
11,L1_BPTX_RefAND_VME,0,0,0
12,L1_BptxMinus,0,0,0
13,L1_BptxMinus_NotBptxPlus,0,0,0
14,L1_BptxOR,0,0,0
15,L1_BptxPlus,0,0,0
16,L1_BptxPlus_NotBptxMinus,0,0,0
17,L1_BptxXOR,0,0,0
18,L1_NotBptxOR,0,0,0
19,L1_ZeroBias,17881,3061,2797
20,L1_ZeroBias_copy,0,0,0
21,L1_TripleMu_5_5_3,0,0,0
22,L1_FirstCollisionInOrbit_Centrality50_100_BptxAND,0,0,0
23,L1_FirstBunchAfterTrain,0,0,0
24,L1_FirstBunchBeforeTrain,0,0,0
25,L1_FirstBunchInTrain,0,0,0
26,L1_IsolatedBunch,0,0,0
27,L1_LastBunchInTrain,0,0,0
28,L1_SecondBunchInTrain,0,0,0
29,L1_SecondLastBunchInTrain,0,0,0
30,L1_UnpairedBunchBptxMinus,0,0,0
31,L1_UnpairedBunchBptxPlus,0,0,0
32,L1_FirstCollisionInTrain,0,0,0
33,L1_LastCollisionInTrain,0,0,0
34,L1_FirstCollisionInOrbit,0,0,0
35,L1_FirstCollisionInOrbit_Centrality30_100_BptxAND,0,0,0
36,L1_Centrality_30_100_MinimumBiasHF1_AND_BptxAND,0,0,0
37,L1_Centrality_50_100_MinimumBiasHF1_AND_BptxAND,0,0,0
40,L1_ETMHF100,0,0,0
41,L1_ETT2000,0,0,0
42,L1_HTT120er,0,0,0
43,L1_HTT200er,0,0,0
44,L1_HTT280er,0,0,0
45,L1_HTT360er,0,0,0
49,L1_SingleEG3,0,0,0
50,L1_SingleEG5,0,0,0
51,L1_SingleEG8er2p5,0,0,0
52,L1_SingleEG10er2p5,0,0,0
53,L1_SingleEG15er2p5,0,0,0
54,L1_SingleEG26er2p5,0,0,0
55,L1_SingleEG50,0,0,0
59,L1_SingleJet35,0,0,0
60,L1_SingleJet35_FWD3p0,0,0,0
61,L1_SingleJet35er2p5,0,0,0
62,L1_SingleJet60,0,0,0
63,L1_SingleJet90,0,0,0
64,L1_SingleJet120,0,0,0
65,L1_SingleJet120_FWD3p0,0,0,0
66,L1_SingleJet120er2p5,0,0,0
67,L1_SingleJet200,0,0,0
71,L1_SingleMu0_BMTF,0,0,0
72,L1_SingleMu0_DQ,0,0,0
73,L1_SingleMu0_EMTF,0,0,0
74,L1_SingleMu0_OMTF,0,0,0
75,L1_SingleMu22,0,0,0
76,L1_SingleMu22_BMTF,0,0,0
77,L1_SingleMu22_EMTF,0,0,0
78,L1_SingleMu22_OMTF,0,0,0
79,L1_SingleMuCosmics,0,0,0
80,L1_SingleMuCosmics_BMTF,0,0,0
81,L1_SingleMuCosmics_EMTF,0,0,0
82,L1_SingleMuCosmics_OMTF,0,0,0
83,L1_DoubleMu0_SQ,0,0,0
84,L1_DoubleMu0_SQ_OS,0,0,0
88,L1_SingleJet8_ZDC1n_XOR_BptxAND,0,0,0
89,L1_SingleJet8_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
90,L1_SingleJet8_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
91,L1_SingleJet8_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
92,L1_SingleJet12_ZDC1n_XOR_BptxAND,0,0,0
93,L1_SingleJet12_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
94,L1_SingleJet12_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
95,L1_SingleJet12_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
96,L1_SingleJet16_ZDC1n_XOR_BptxAND,0,0,0
97,L1_SingleJet16_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
98,L1_SingleJet16_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
99,L1_SingleJet16_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
100,L1_SingleJet24_ZDC1n_XOR_BptxAND,0,0,0
101,L1_SingleJet24_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
102,L1_SingleJet24_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
103,L1_SingleJet24_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
104,L1_SingleJet8_BptxAND,0,0,1
105,L1_SingleJet16_BptxAND,0,0,1
106,L1_SingleJet24_BptxAND,0,0,1
107,L1_SingleJet28_BptxAND,0,11,1
108,L1_SingleJet32_BptxAND,0,0,1
109,L1_SingleJet36_BptxAND,0,0,1
110,L1_SingleJet40_BptxAND,0,0,1
111,L1_SingleJet44_BptxAND,0,7,1
112,L1_SingleJet48_BptxAND,0,0,1
113,L1_SingleJet56_BptxAND,0,5,1
114,L1_SingleJet60_BptxAND,0,3.5,1
115,L1_SingleJet64_BptxAND,0,0,1
116,L1_SingleJet72_BptxAND,0,0,1
117,L1_SingleJet80_BptxAND,0,0,1
120,L1_SingleJet20_ZDC1n_XOR_BptxAND,0,0,0
121,L1_SingleJet20_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
122,L1_SingleJet20_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
123,L1_SingleJet20_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
124,L1_SingleJet28_ZDC1n_XOR_BptxAND,0,0,0
125,L1_SingleJet28_ZDC1n_Bkp1_XOR_BptxAND,0,0,0
126,L1_SingleJet28_ZDC1n_Bkp2_XOR_BptxAND,0,0,0
127,L1_SingleJet28_ZDC1n_Bkp3_XOR_BptxAND,0,0,0
128,L1_SingleJet8_FWD_BptxAND,0,0,1
129,L1_SingleJet16_FWD_BptxAND,0,0,1
